,Country,ISO_3,UN_region,UN_subregion,Data_Quality
146,Sierra Leone,SLE,Africa,Western Africa,6
147,Singapore,SGP,Asia,South-Eastern Asia,5
148,Slovakia,SVK,Europe,Eastern Europe,5
149,Slovenia,SVN,Europe,Southern Europe,6
150,Somalia,SOM,Africa,Eastern Africa,5
151,South Africa,ZAF,Africa,Southern Africa,5
152,Spain,ESP,Europe,Southern Europe,6
153,Sri Lanka,LKA,Asia,Southern Asia,6
154,Suriname,SUR,Latin America and the Caribbean,South America,3L
155,Swaziland,SWZ,Africa,Southern Africa,3L
156,Sweden,SWE,Europe,Northern Europe,5
157,Switzerland,CHE,Europe,Western Europe,6
158,Syrian Arab Republic,SYR,Asia,Western Asia,5
159,Tajikistan,TJK,Asia,Central Asia,5
160,"Tanzania, United Republic of",TZA,Africa,Eastern Africa,6
161,Thailand,THA,Asia,South-Eastern Asia,6
162,Timor-Leste,TLS,Asia,South-Eastern Asia,3B
163,Togo,TGO,Africa,Western Africa,6
164,Tonga,TON,Oceania,Polynesia,3B
165,Trinidad and Tobago,TTO,Latin America and the Caribbean,Caribbean,3B
166,Tunisia,TUN,Africa,Northern Africa,5
167,Turkey,TUR,Asia,Western Asia,5
168,Turkmenistan,TKM,Asia,Central Asia,6
169,Uganda,UGA,Africa,Eastern Africa,6
170,Ukraine,UKR,Europe,Eastern Europe,5
171,United Arab Emirates,ARE,Asia,Western Asia,6
172,United Kingdom,GBR,Europe,Northern Europe,6
173,United States of America,USA,North America,North America,6
174,Uruguay,URY,Latin America and the Caribbean,South America,3B
175,Uzbekistan,UZB,Asia,Central Asia,6
176,"Venezuela, Bolivarian Republic of",VEN,Latin America and the Caribbean,South America,5
177,Viet Nam,VNM,Asia,South-Eastern Asia,6
178,World,W,World,World,
179,Yemen,YEM,Asia,Western Asia,5
180,Zambia,ZMB,Africa,Eastern Africa,6
181,Zimbabwe,ZWE,Africa,Eastern Africa,6
